Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"3S battery holder","to hold battery and connect them in series ",1,0.30,"https://quartzcomponents.com/products/3-cell-18650-lithium-battery-holder?_pos=3&_sid=32b79a9b1&_ss=r","quartz compoents"
"2s battery holder","to hold the batteries of controller",1,0.37,"https://quartzcomponents.com/products/double-cell-18650-li-ion-battery-holder?_pos=2&_sid=32b79a9b1&_ss=r","quartx components"
"1000uF 25V Radial Electrolytic Capacitor ","it will stablize the power suplly and decrease motor noice ",2,0.30,"https://quartzcomponents.com/products/1000uf-25v-radial-electrolytic-capacitor-through-hole?_pos=1&_sid=f2873d936&_ss=r","quartz components"
"buck converter","to decrease the voltage for esp32, we are using 3 cell to power both esp32 and motor for esp32 we have to step down 11.1v to 5 or 3v",2,1.20,"https://robocraze.com/products/lm2596-dc-dc-buck-module?variant=40192693076121","robocraze"
"3.7v battery cells","to power the car and the controller using 3 for car / motor as 11.1v suplly and other 2 for contorller",5,2.50,"https://quartzcomponents.com/products/18650-li-ion-2000mah-rechargeable-battery?_pos=3&_sid=3c780dd16&_ss=r","quartx components"
"ESP32 CAM","to capture photo video and control the motor driver",1,6.00,"https://quartzcomponents.com/products/esp32-camera-development-board-wifi-bluetooth-with-ov2640-camera-module","quartz components"
"Jumper wire","to connect all components",3,1.58,"https://quartzcomponents.com/products/male-to-female-connecting-wires-jumper-wires-set-of-40","quartx components"
"PS2 Joystick Module Breakout Sensor","to send signal to esp32 joystick",2,0.70,"https://robocraze.com/products/joystick-module?_pos=1&_sid=5527772aa&_ss=r","robocraze"
"Wheel","to move car and convert motor rotation into lenear speed",4,2.90,"https://robocraze.com/products/70x40-wheel-for-gear-motor-gear-motor-wheel-7x4cm?_pos=1&_sid=cdfc2a9ed&_ss=r","robocraze"
"TB6612FNG Dual DC Motor Driver","to move motor by sending signal to it",1,1.70,"https://robocraze.com/products/tb6612fng-dual-dc-motor-driver?_pos=1&_sid=bd19198ff&_ss=r","robocraze"
"esp32","act as controller brain send signal form joystick to car",1,3.75,"https://quartzcomponents.com/products/esp32-30-pin-development-board-with-wi-fi-and-bluetooth?variant=45080070455530","quartz components"
"Dc Motor","To move the wheel and make car move",4,7.54,"https://robu.in/product/1000rpm-12v-low-noise-dc-motor-with-metal-gears-grade-a/","robu"
